level,order,title,author,publisher
2A,35,ぞうのオリバー,ホフ 三原泉・訳,偕成社
2A,36,あさえとちいさいいもうと,筒井頼子 林明子・絵,福音館書店
2A,37,かえるをのんだととさん,日野十成・再話 斎藤隆夫・絵,福音館書店
2A,38,おじいちゃんのおじいちゃんのおじいちゃんのおじいちゃん,長谷川義史,出版
2A,39,ぐるんぱのようちえん,西内ミナミ 堀内誠一・絵,福音館書店
2A,40,でこちゃん,つちだのぶこ,研究所
2A,41,三びきのこぶた,山田三郎・絵 瀬田貞二・訳,福音館書店
2A,42,ふんふんなんだかいいにおい,にしまきかやこ,こぐま社
2A,43,ねずみのすもう,おざわとしお・再話 ふじもとしろう・絵,くもん出版
2A,44,からすのパンやさん,かこさとし,偕成社
2A,45,おふろだいすき,松岡享子 林明子・絵,福音館書店
2A,46,ぼく、だんごむし,得田之久 たかはしきよし・絵,福音館書店
2A,47,くまのコールテンくん,フリーマン まつおかきょうこ・訳,偕成社
2A,48,100 かいだてのいえ,いわいとしお,偕成社
2A,49,もりのおべんとうやさん,舟崎靖子 舟崎克彦・絵,偕成社
2A,50,はこぶ,鎌田歩,教育画劇
A,1,おおきなかぶ,トルストイ・再話 佐藤忠良・画,福音館書店
A,2,おやつがほーいどっさりほい,梅田俊作・佳子,新日本出版社
A,3,ピーターのいす,キーツ きじまはじめ・訳,偕成社
A,4,あんぱんまんとばいきんまん,やなせ・たかし,フレーベル館
A,5,めっきらもっきらどおんどん,長谷川摂子 ふりやなな・画,福音館書店
A,6,はなのあなのはなし,やぎゅうげんいちろう,福音館書店
A,7,タンゲくん,片山健,福音館書店
A,8,しろいうさぎとくろいうさぎ,ウイリアムズ まつおかきょうこ・訳,福音館書店
A,9,ふしぎなたけのこ,松野正子 瀬川康男・絵,福音館書店
A,10,ぼくにげちゃうよ,ブラウン ハード・絵,ほるぷ出版
A,11,11ぴきのねこ,馬場のぼる,こぐま社
A,12,どうぞのいす,香山美子 柿本幸造・絵,ひさかたチャイルド
A,13,マフィンおばさんのぱんや,竹林亜紀 河本祥子・絵,福音館書店
A,14,ともだちや,内田麟太郎 降矢なな・絵,偕成社
A,15,こんとあき,林明子,福音館書店
A,16,くまさぶろう,もりひさし ユノセイイチ・絵,こぐま社
A,17,おおはくちょうのそら,手島圭三郎,絵本塾出版
A,18,しずくのぼうけん,テルリコフスカ ブテンコ・絵,福音館書店
A,19,おたまじゃくしの101ちゃん,かこさとし,偕成社
A,20,みどりいろのたね,たかどのほうこ 太田大八・絵,福音館書店
A,21,おじさんのかさ,佐野洋子,講談社
A,22,ずーっとずっとだいすきだよ,ウィルヘルム 久山太市・訳,評論社
A,23,こんこんさまにさしあげそうろう,森はな 梶山俊夫・絵,研究所
A,24,まりーちゃんとひつじ,フランソワーズ 与田準一・訳,岩波書店
A,25,ひとまねこざる,レイ 光吉夏弥・訳,岩波書店
A,26,しょうぼうじどうしゃじぷた,渡辺茂男 山本忠敬・絵,福音館書店
A,27,花いっぱいになあれ,松谷みよ子 司修・絵,大日本図書
A,28,きいろいばけつ,もりやまみやこ つちだよしはる・絵,あかね書房
A,29,おだんごころころ,大川悦生 伊勢英子・絵,ポプラ社
A,30,だってだってのおばあさん,佐野洋子,フレーベル館
A,31,あひるのバーバちゃん,神沢利子 山脇百合子・絵,偕成社
A,32,はなのすきなうし,リーフ ローソン・絵,岩波書店
A,33,おかあさんだいすき,フラック 光吉夏弥・訳,岩波書店
A,34,あおい目のこねこ,マチーセン せたていじ・訳,福音館書店
A,35,どんぐりかいぎ,こうやすすむ 片山健・絵,福音館書店
A,36,からからからが…,高田桂子 木曽秀夫・絵,文研出版
A,37,かにむかし,木下順二 清水崑・絵,岩波書店
A,38,ももの子たろう,おおかわえっせい みたげんじろう・絵,ポプラ社
A,39,ちからたろう,いまえよしとも たしませいぞう・絵,ポプラ社
A,40,うさぎのみみはなぜながい,北川民次,福音館書店
A,41,カレーライスはこわいぞ,角野栄子 佐々木洋子・絵,ポプラ社
A,42,ちいさいおうち,バートン いしいももこ・訳,岩波書店
A,43,ぞうのババール,ブリュノフ やがわすみこ・訳,評論社
A,44,きかんしゃやえもん,阿川弘之 岡部冬彦・絵,岩波書店
A,45,いたずらきかんしゃちゅうちゅう,バートン むらおかはなこ・訳,福音館書店
A,46,こまったさんのスパゲティ,寺村輝夫 岡本颯子・絵,あかね書房
A,47,そらをとんだけいこのあやとり,やまわきゆりこ,福音館書店
A,48,ちいさなもみのき,ブラウン クーニー・絵,福音館書店
A,49,すずめのくつした,セルデン リップマン・絵,大日本図書
A,50,わすれられないおくりもの,バーレイ 小川仁央・訳,評論社
B,1,さかなにはなぜしたがない,神沢利子 井上洋介・絵,ポプラ社
B,2,にゃーご,宮西達也,すずき出版
B,3,ふたりはいつも,ローベル 三木卓・訳,文化出版局
B,4,ろくべえまってろよ,灰谷健次郎 長新太・絵,文研出版
B,5,一さつのおくりもの,森山京 鴨下潤・絵,講談社
B,6,せんたくかあちゃん,さとうわきこ,福音館書店
B,7,スイミー,レオニ 谷川俊太郎・訳,好学社
B,8,びゅんびゅんごまがまわったら,宮川ひろ 林明子・絵,童心社
B,9,オナモミのとげ,多田多恵子・監修,偕成社
B,10,子うさぎましろのお話,佐々木たづ 三好碩也・絵,ポプラ社
B,11,一休さん,寺村輝夫 ヒサクニヒコ・画,あかね書房
B,12,こぎつねコンとこだぬきポン,松野正子 二俣英五郎・画,童心社
B,13,チロヌップのきつね,たかはしひろゆき,金の星社
B,14,おばけのはなし１,寺村輝夫 ヒサクニヒコ・画,あかね書房
B,15,ネコジャラシはらっぱのモグラより,吉田道子 福田岩緒・絵,くもん出版
B,16,おかえし,村山桂子 織茂恭子・絵,福音館書店
B,17,ぼくはアフリカにすむキリンといいます,岩佐めぐみ 高畠純・絵,偕成社
B,18,アレクサンダとぜんまいねずみ,レオニ 谷川俊太郎・訳,好学社
B,19,ホネホネたんけんたい,松田素子 大西成明・写真,アリス館
B,20,半日村,斎藤隆介 滝平二郎・絵,岩崎書店
B,21,はれときどきぶた,矢玉四郎,岩崎書店
B,22,どうぶつのあしがたずかん,加藤由子 ヒサクニヒコ・絵,岩崎書店
B,23,りんごかもしれない,ヨシタケシンスケ,ブロンズ新社
B,24,番ねずみのヤカちゃん,ウィルバー 松岡享子・訳,福音館書店
B,25,あらしのよるに,木村裕一 あべ弘士・絵,講談社
B,26,ネコのタクシー,南部和也 さとうあや・絵,福音館書店
B,27,100万回生きたねこ,佐野洋子,講談社
B,28,チム・ラビットのぼうけん,アトリー 石井桃子・訳,童心社
B,29,きつねのでんわボックス,戸田和代 たかすかずみ・絵,金の星社
B,30,なんやななちゃんなきべそしゅんちゃん,灰谷健次郎 坪谷令子・絵,文研出版
B,31,おしいれのぼうけん,ふるたたるひ・たばたせいいち,童心社
